"","zip","state","DurationSec","DemoState","DemoZip","PersonalExpYN","EEAttributionNoExper","PersonalExpType","PersonalExpTypeOE","PersonalExpImpact","PersonalExpImpactOE","EEIntensity","EEFrequency","EEAttributionExper","CCHumanCaused","PsyDistClimateGroup","PsyDistNumber","PsyDistLocal","PsyDistFar","PsyDistDevelop","PsyDistImpact","PsyDistEffects","WTPPolicy","EcolEconGrowth","EcolEconRelationship","EcolEconGraphic","CCHumanActivity","CCHumanActDeforest","CCHumanActFossil","CCHumanActCigarette","CCHumanActCFC","CCHumanActToxic","CCHumanActNuclear","PriorityTerrorist","PriorityEconomy","PriorityHealthcare","PriorityEducation","PriorityEnvironment","PriorityImmigration","PriorityBudget","PriorityClimate","PriorityJob","PriorityMilitary","PriorityRace","PriorityCovid","DemoPresElection","DemoPolitical","gc","wtpValue","LS","EEAttributionAll","EEExposure","CCDenierOrNot","DemoPol.3GRModSeparate","DemoPol.3Groups","PersonalExpType_wildfire","PersonalExpType_hurricane","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_drought","PersonalExpType_tornado","PersonalExpType_other","PersonalExpType_total","PersonalExpImpact_smoke","PersonalExpImpact_sheltering","PersonalExpImpact_nearmiss","PersonalExpImpact_evacuate","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_incomelost","PersonalExpImpact_other","PersonalExpImpact_total","EEExposureAll","extremeExperienceYN","EEIntensityAll","wtp","c2","c3","t1a","t1b","t2a","t2b","t3a","t3b","t4","c1","t1","t2","t3","tA","tB","climateTopPriority","EEFrequency_std","EEIntensity_std","EEExposure_std","EEAttributionAll_std","EEAttributionXIntensity","EEAttributionXExposure","EEExposureAll_std","EEIntensityAll_std","DuplicatedZip","biden","trump","nonvoter","thirdparty","bipoc","age","male","collegeGrad","income","ccHumanCaused","ccNatureCaused","ccNotHappening"
"1410","31601","Georgia",1100,"Georgia",31601,1,NA,"1 2 3 4 5 6",NA,"1 2 3 4 5 6 7",NA,10,5,10,2,3,10,6,5,6,6,1,1,1,1,NA,41,2,NA,NA,1,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,125,873,10,15,1,2,2,1,1,1,1,1,1,0,6,1,1,1,0,1,1,1,0,6,15,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.069129049,2.217348548,2.658017223,1.405811368,100,150,2.796097445,2.666383856,FALSE,0,0,1,0,1,21,1,1,87.5,0,1,0
"1411","14214","New York",634,"New York",14214,2,1,NA,NA,NA,NA,NA,NA,NA,1,3,10,1,7,7,1,5,1,1,1,NA,21,2,1,NA,NA,NA,NA,3,4,4,2,4,2,4,3,3,3,4,2,1,4,1,205,873,1,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,TRUE,0,0,1,0,1,21,0,1,17.5,1,0,0
"1412","14211","New York",460,"New York",14211,1,NA,"7","None","5",NA,1,0,9,1,1,5,2,5,5,5,2,2,6,2,NA,52,NA,2,NA,NA,1,NA,1,1,2,1,2,2,2,1,3,4,2,3,3,1,1,85,846,9,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1.928621241,-1.515621508,-2.03204172,1.066479503,9,9,-0.60716785,-0.454667968,TRUE,1,0,0,0,0,29.5,0,1,17.5,1,0,0
"1413","14850","New York",440,"New York",14850,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,6,1,1,6,1,1,1,1,NA,21,2,1,NA,NA,NA,NA,3,4,4,3,4,3,3,4,4,1,4,4,3,6,1,125,846,10,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,0,29.5,0,1,37.5,1,0,0
"1414","13820","New York",401,"New York",13820,1,NA,"1 3 5 6",NA,"1 2 3 4 5 6 7",NA,5,3,3,1,1,6,4,2,5,6,4,1,4,2,NA,42,NA,2,NA,1,NA,NA,2,2,4,2,3,4,3,3,1,1,3,3,3,4,1,265,846,3,8,0,2,2,1,0,1,0,1,1,0,4,1,1,1,0,1,1,1,0,6,8,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470028933,0.143476295,0.312987751,-0.969511691,15,24,1.094464798,0.932466176,TRUE,1,0,0,0,0,21,0,0,37.5,1,0,0
"1415","10463","New York",647,"New York",10463,2,5,NA,NA,NA,NA,NA,NA,NA,1,3,10,6,4,5,5,2,1,3,2,NA,42,NA,2,NA,1,NA,NA,1,1,4,1,4,2,3,3,1,2,1,1,1,4,1,265,873,5,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,39.5,0,0,87.5,1,0,0
"1416","13363","New York",539,"New York",13363,2,4,NA,NA,NA,NA,NA,NA,NA,2,1,4,4,4,4,4,3,2,3,2,NA,23,NA,1,2,NA,NA,NA,3,3,2,2,3,2,4,2,2,3,4,4,2,4,1,145,846,4,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,NA,NA,NA,-0.630179826,NA,NA,-0.850258229,-0.801451504,FALSE,0,1,0,0,0,49.5,0,1,37.5,0,1,0
"1417","12065","New York",696,"New York",12065,2,7,NA,NA,NA,NA,NA,NA,NA,1,2,7,5,6,6,4,5,1,2,NA,3,21,2,1,NA,NA,NA,NA,4,4,4,3,3,3,3,3,3,4,3,3,2,2,1,205,846,7,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,FALSE,0,1,0,0,0,29.5,0,1,125,1,0,0
"1418","33311","Florida",752,"Florida",33311,1,NA,"2 3",NA,"4",NA,4,3,7,2,2,7,7,4,1,7,1,1,1,NA,1,65,NA,NA,NA,NA,2,1,4,4,4,1,3,2,4,4,4,4,4,4,3,2,1,25,873,7,7,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.470028933,-0.271298156,-0.022016459,0.387815771,28,49,0.851374419,0.58568264,TRUE,1,0,0,0,1,29.5,0,0,87.5,0,1,0
"1419","95138","California",1751,"California",95138,2,4,NA,NA,NA,NA,NA,NA,NA,1,2,8,5,3,2,5,3,2,3,NA,2,21,2,1,NA,NA,NA,NA,2,3,3,3,3,4,3,3,3,2,4,4,3,6,1,205,873,4,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,-0.630179826,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,29.5,0,1,87.5,1,0,0
"1420","33023","Florida",874,"Florida",33023,1,NA,"2",NA,"1",NA,1,2,5,1,2,7,3,4,7,5,2,1,6,NA,2,62,NA,2,NA,NA,NA,1,1,2,1,2,3,2,2,3,2,4,1,2,4,1,1,65,873,5,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329521125,-1.515621508,-1.3620333,-0.29084796,5,15,-0.120987094,-0.454667968,FALSE,0,0,0,1,1,29.5,0,1,62.5,1,0,0
"1421","14172","New York",625,"New York",14172,2,10,NA,NA,NA,NA,NA,NA,NA,1,1,6,7,7,7,7,1,1,1,NA,3,21,2,1,NA,NA,NA,NA,4,3,3,3,4,4,3,4,3,2,4,4,3,5,1,165,846,10,NA,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,0,21,0,1,87.5,1,0,0
"1422","10026","New York",526,"New York",10026,2,9,NA,NA,NA,NA,NA,NA,NA,1,3,9,2,5,5,5,4,1,2,1,NA,24,NA,1,NA,2,NA,NA,1,3,2,4,4,3,4,4,4,4,4,1,3,1,1,145,873,9,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.066479503,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,39.5,1,1,62.5,1,0,0
"1423","13203","New York",1832,"New York",13203,2,7,NA,NA,NA,NA,NA,NA,NA,1,2,7,4,3,2,5,1,2,2,NA,2,25,NA,1,NA,NA,2,NA,4,3,3,4,4,3,3,4,4,3,4,4,3,4,1,45,846,7,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,1,59.5,0,0,17.5,1,0,0
"1424","99301","Washington",14243,"Washington",99301,1,NA,"1 3",NA,"1 2",NA,6,1,10,2,3,10,7,7,7,7,1,1,1,NA,2,21,2,1,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,5,873,10,7,1,2,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,7,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-1.129071183,0.558250746,-0.022016459,1.405811368,60,70,0.851374419,1.279249712,TRUE,0,0,1,0,1,29.5,0,1,62.5,0,1,0
"1425","94608","California",1216,"California",94608,1,NA,"1",NA,"1",NA,10,2,10,1,3,10,7,1,1,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,25,873,10,12,0,3,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,12,1,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.329521125,2.217348548,1.653004592,1.405811368,100,120,2.066826311,2.666383856,TRUE,1,0,0,0,1,29.5,1,1,62.5,1,0,0
"1426","14586","New York",530,"New York",14586,2,8,NA,NA,NA,NA,NA,NA,NA,2,2,8,5,4,3,4,2,2,2,NA,1,32,NA,2,1,NA,NA,NA,3,3,4,4,3,2,3,3,3,2,2,4,2,5,1,185,846,8,NA,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,FALSE,0,1,0,0,0,49.5,0,1,125,0,1,0
"1427","94588","California",1012,"California",94588,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,7,1,1,7,1,1,1,1,NA,15,1,NA,NA,NA,2,NA,3,4,4,4,4,3,4,4,4,4,3,4,3,3,1,145,873,10,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,49.5,0,0,200,1,0,0
"1428","70810","Louisiana",744,"Louisiana",70810,1,NA,"2",NA,"3 4",NA,8,2,3,2,2,8,5,5,5,3,1,1,1,NA,2,12,1,2,NA,NA,NA,NA,1,1,4,NA,1,1,3,1,1,1,3,1,1,1,1,85,873,3,10,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10,1,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.329521125,1.387799647,0.982996172,-0.969511691,24,30,1.580645554,1.972816784,FALSE,0,0,1,0,1,39.5,0,0,87.5,0,1,0
"1429","14228","New York",607,"New York",14228,2,8,NA,NA,NA,NA,NA,NA,NA,1,2,8,6,6,6,5,1,1,1,1,NA,21,2,1,NA,NA,NA,NA,2,4,4,3,4,2,2,3,3,2,2,3,4,4,1,105,846,8,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,0,1,0,29.5,0,1,10,1,0,0
"1430","10023","New York",841,"New York",10023,2,3,NA,NA,NA,NA,NA,NA,NA,1,2,7,4,4,4,7,5,2,4,1,NA,51,2,NA,NA,NA,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,165,873,3,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,-0.969511691,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,1,29.5,0,1,37.5,1,0,0
"1431","13208","New York",730,"New York",13208,2,5,NA,NA,NA,NA,NA,NA,NA,1,3,10,6,6,5,6,4,1,1,NA,2,45,NA,NA,NA,1,2,NA,4,3,4,3,4,3,3,4,3,3,2,4,3,6,1,265,873,5,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,21,0,0,37.5,1,0,0
"1432","92843","California",252,"California",92843,2,6,NA,NA,NA,NA,NA,NA,NA,1,2,7,5,5,6,4,4,1,2,NA,2,24,NA,1,NA,2,NA,NA,2,2,3,4,3,3,3,3,4,2,4,4,3,7,1,125,873,6,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0.048483906,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,1,21,0,1,10,1,0,0
"1433","12469","New York",367,"New York",12469,1,NA,"2",NA,"2",NA,4,2,7,1,2,7,5,5,6,5,2,1,2,2,NA,21,2,1,NA,NA,NA,NA,3,3,3,2,3,2,3,3,3,3,4,3,3,6,1,45,846,7,6,0,3,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329521125,-0.271298156,-0.357020669,0.387815771,28,42,0.608284041,0.58568264,FALSE,1,0,0,0,0,21,0,1,17.5,1,0,0
"1434","90011","California",857,"California",90011,2,10,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,6,6,2,1,1,1,NA,21,2,1,NA,NA,NA,NA,2,3,3,4,4,4,3,4,3,2,3,4,3,6,1,85,873,10,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,1,29.5,0,1,17.5,1,0,0
"1435","11691","New York",856,"New York",11691,2,7,NA,NA,NA,NA,NA,NA,NA,1,2,7,7,6,6,6,3,2,1,NA,2,42,NA,2,NA,1,NA,NA,4,3,4,NA,3,3,3,4,2,3,3,4,3,5,1,125,873,7,NA,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.387815771,NA,NA,-0.850258229,-0.801451504,TRUE,1,0,0,0,1,49.5,1,1,37.5,1,0,0
"1436","12901","New York",1927,"New York",12901,1,NA,"1 2 3",NA,"1 2 4",NA,6,2,9,3,2,8,6,2,2,5,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,4,3,4,1,4,4,4,4,1,4,4,4,1,1,1,65,846,9,8,1,1,1,1,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,2,8,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,-0.329521125,0.558250746,0.312987751,1.066479503,54,72,1.094464798,1.279249712,FALSE,0,0,1,0,0,59.5,0,0,10,0,0,1
"1437","12901","New York",2162,"New York",12901,1,NA,"4 5 6",NA,"1",NA,2,2,7,2,3,10,7,1,1,3,6,1,1,1,NA,42,NA,2,NA,1,NA,NA,4,3,4,4,4,2,3,4,4,3,3,4,3,6,1,105,846,7,4,1,3,3,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,1,4,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,-0.329521125,-1.100847057,-1.02702909,0.387815771,14,28,0.122103284,-0.107884432,TRUE,1,0,0,0,0,59.5,1,0,17.5,0,1,0
"1438","13905","New York",1144,"New York",13905,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,4,4,3,4,1,3,NA,1,12,1,2,NA,NA,NA,NA,4,4,4,4,4,3,4,3,4,4,4,4,1,3,1,265,846,4,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,-0.630179826,NA,NA,-0.850258229,-0.801451504,TRUE,0,0,1,0,0,59.5,0,1,37.5,1,0,0
"1439","13820","New York",843,"New York",13820,2,10,NA,NA,NA,NA,NA,NA,NA,1,3,10,7,7,3,7,1,1,1,1,NA,16,1,NA,NA,NA,NA,2,4,4,4,4,4,4,3,4,3,3,4,4,4,6,1,265,846,10,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,1.405811368,NA,NA,-0.850258229,-0.801451504,TRUE,0,0,0,1,0,21,0,0,62.5,1,0,0
"1440","13656","New York",589,"New York",13656,2,5,NA,NA,NA,NA,NA,NA,NA,2,1,5,2,NA,5,4,3,1,3,3,NA,12,1,2,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1,1,1,1,4,5,1,125,846,5,NA,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,0,1,0,39.5,0,0,10,0,1,0
"1441","98501","Washington",747,"Washington",98501,2,6,NA,NA,NA,NA,NA,NA,NA,1,1,6,5,5,5,5,2,1,1,1,NA,42,NA,2,NA,1,NA,NA,3,4,2,4,3,2,3,3,4,3,3,4,1,4,1,65,873,6,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.048483906,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,29.5,0,0,10,1,0,0
"1442","30214","Georgia",585,"Georgia",30214,2,3,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,5,3,3,4,1,3,3,NA,51,2,NA,NA,NA,1,NA,4,4,4,3,4,4,4,3,4,4,4,4,1,4,1,65,873,3,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,-0.969511691,NA,NA,-0.850258229,-0.801451504,TRUE,0,0,1,0,1,21,1,0,87.5,0,0,1
"1443","98362","Washington",1514,"Washington",98362,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,6,2,4,NA,3,16,1,NA,NA,NA,NA,2,4,3,3,4,3,4,3,2,3,3,4,2,2,4,1,65,873,1,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,FALSE,0,1,0,0,1,49.5,1,1,37.5,0,1,0
"1444","94520","California",1657,"California",94520,2,5,NA,NA,NA,NA,NA,NA,NA,1,2,8,5,5,5,5,1,1,3,NA,1,12,1,2,NA,NA,NA,NA,3,4,4,4,4,4,4,4,4,3,4,4,1,4,1,265,873,5,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,39.5,0,1,125,1,0,0
"1445","91910","California",584,"California",91910,1,NA,"1",NA,"5",NA,6,1,10,1,3,9,6,2,4,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,4,4,3,4,3,3,3,2,5,1,205,873,10,7,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.129071183,0.558250746,-0.022016459,1.405811368,60,70,0.851374419,1.279249712,FALSE,0,1,0,0,1,29.5,0,1,10,1,0,0
"1446","95350","California",1258,"California",95350,1,NA,"1 5",NA,"1",NA,4,2,1,2,1,2,4,4,5,4,2,2,3,NA,1,25,NA,1,NA,NA,2,NA,4,4,4,4,4,4,4,3,4,4,3,3,2,2,1,125,873,1,6,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,6,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.329521125,-0.271298156,-0.357020669,-1.648175423,4,6,0.608284041,0.58568264,FALSE,0,1,0,0,1,29.5,0,1,37.5,0,1,0
"1447","71019","Louisiana",1303,"Louisiana",71019,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,0,4,4,4,5,7,2,4,NA,2,35,NA,NA,1,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,45,873,1,NA,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,FALSE,0,0,1,0,1,39.5,0,0,10,0,1,0
"1448","80246","Colorado",1026,"Colorado",80246,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,5,4,5,4,4,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,3,1,1,3,1,1,3,4,1,85,873,5,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,-0.29084796,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,29.5,1,0,37.5,1,0,0
"1449","13676","New York",728,"New York",13676,2,9,NA,NA,NA,NA,NA,NA,NA,1,3,9,6,4,4,6,1,1,1,NA,1,21,2,1,NA,NA,NA,NA,3,3,3,4,4,2,3,4,3,3,3,4,3,7,1,125,846,9,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1.066479503,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,0,39.5,0,1,125,1,0,0
"1450","10304","New York",9937,"New York",10304,1,NA,"2",NA,"2",NA,2,1,9,1,3,10,6,2,4,6,1,1,1,1,NA,12,1,2,NA,NA,NA,NA,4,4,4,2,4,2,3,4,3,2,4,4,3,4,1,225,873,9,3,0,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,-1.129071183,-1.100847057,-1.3620333,1.066479503,18,27,-0.120987094,-0.107884432,TRUE,1,0,0,0,1,70,1,1,175,1,0,0
"1451","39046","Mississippi",1378,"Mississippi",39046,2,8,NA,NA,NA,NA,NA,NA,NA,3,2,7,2,5,4,4,2,2,1,2,NA,14,1,NA,NA,2,NA,NA,4,4,4,4,3,3,1,4,3,4,3,4,3,4,1,265,873,8,NA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,0.727147637,NA,NA,-0.850258229,-0.801451504,FALSE,1,0,0,0,1,29.5,0,0,37.5,0,0,1
"1452","36608","Alabama",2981,"Alabama",36608,1,NA,"2",NA,NA,NA,1,5,10,2,3,10,3,4,2,7,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,3,4,4,4,4,4,3,6,1,105,873,10,6,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2.069129049,-1.515621508,-0.357020669,1.405811368,10,60,0.608284041,-0.454667968,FALSE,1,0,0,0,1,59.5,0,1,10,0,1,0
"1453","14468","New York",255,"New York",14468,1,NA,"6",NA,"2 3",NA,5,4,10,1,3,10,7,2,1,7,2,2,2,1,NA,42,NA,2,NA,1,NA,NA,3,4,4,4,4,3,3,4,4,2,4,4,3,6,1,65,846,10,9,0,3,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,9,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1.269578991,0.143476295,0.647991961,1.405811368,50,90,1.337555176,0.932466176,FALSE,1,0,0,0,0,29.5,0,1,125,1,0,0
"1454","90802","California",332,"California",90802,1,NA,"1 4",NA,"4",NA,7,3,3,2,2,7,3,4,3,3,3,1,3,NA,1,12,1,2,NA,NA,NA,NA,3,4,3,4,4,4,2,4,4,4,4,3,2,2,1,65,873,3,10,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.470028933,0.973025196,0.982996172,-0.969511691,21,30,1.580645554,1.626033248,FALSE,0,1,0,0,1,29.5,1,1,62.5,0,1,0
"1455","94112","California",830,"California",94112,1,NA,"1 4",NA,"1",NA,6,2,3,2,1,3,4,4,1,3,3,1,3,2,NA,21,2,1,NA,NA,NA,NA,4,4,3,4,4,4,4,2,3,4,3,4,2,3,1,5,873,3,8,1,1,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,8,1,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-0.329521125,0.558250746,0.312987751,-0.969511691,18,24,1.094464798,1.279249712,TRUE,0,1,0,0,0,39.5,1,1,62.5,0,1,0
"1456","95826","California",367,"California",95826,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,2,2,2,1,1,NA,2,15,1,NA,NA,NA,2,NA,3,1,3,1,2,1,2,2,2,1,1,2,2,1,1,85,873,1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,-1.648175423,NA,NA,-0.850258229,-0.801451504,TRUE,0,1,0,0,1,39.5,0,0,10,0,1,0
